key,Sentence,checked
0,"మంచు విష్ణు గతంలో దేనికైనా రెడీ సినిమాలో కనిపించినట్టుగానే ఈ సినిమాలోనూ కనిపించాడు.
",2
1,"దాదాపుగా అదే తరహా లుక్‌, క్యారెక్టరైజేషన్‌తో ఆకట్టుకునే ప్రయత్నం  చేశాడు.
",1
2,"తన పరిథి మేరకు కృష్ణమాచారి పాత్రకు న్యాయం చేశాడు.
",1
3,"ముఖ్యంగా యాక్షన్‌ సీన్స్‌లో మంచు విష్ణు పర్ఫామెన్స్‌ ఆకట్టుకుంటుంది.
",1
4,"సీనియర్‌ నటుడు బ్రహ్మానందం తనకు అలవాటైన పాత్రలో మెప్పించారు.
",1
5,"బ్రాహ్మాణుడి పాత్రలు చేయటం బ్రహ్మీకి కొట్టిన పిండి.
",0
6,"కానీ బ్రహ్మీని పూర్తి స్థాయిలో వాడుకునే సన్నివేశాలు సినిమాలో పెద్దగా కనిపించవు.
",0
7,"పెర్ఫార్మెన్స్ పరంగా చూస్తే కృష్ణమాచారిగా మంచు విష్ణు పర్ఫెక్టుగా నటించారు.
",0
8,"తన పాత్రకు పూర్తి న్యాయం చేశారు.
",0
9,"హీరోయిన్ ప్రగ్యా జైస్వాల్‌‌ నటన పరంగా తనను తాను నిరూపించుకునే సీన్లు పడక పోయినా.
",0
10,"అందంతో మెప్పించింది.
",0
11,"అనూప్‌ సింగ్‌ థాకూర్‌ తెరమీద కనిపించింది కొద్ది సేపే అయినా.
",0
12,"ఉన్నంతలో మంచి విలనిజం పండించాడు.
",0
13,"హీరో ఫ్రెండ్స్‌ ప్రభాస్‌ శ్రీను, ప్రవీణ్‌లు నవ్వించే ప్రయత్నం చేశారు.
",0
14,"ఇతర పాత్రల్లో కోటా శ్రీనివాసరావు.
",0
15,"ప్రదీప్ రావత్‌, రాజా రవీంద్ర తమ పాత్రలకు న్యాయం చేశారు.
",0
16,"విశ్లేషణ .
",0
17,"మంచు విష్ణుతో హ్యాట్రిక్‌ సక్సెస్‌ కోసం ప్రయత్నించిన జీ.
",0
18,"నాగేశ్వరరెడ్డి పెద్దగా ప్రయోగాల జోలికి వెళ్లకుండా సేఫ్‌ గేమ్‌ ఆడాడు.
",0
19,"గతంలో మంచు విష్ణుకు ఘనవిజయాన్ని అందించిన దేనికైనా రెడీ తరహాలోనే కామెడీ ఎంటర్‌టైనర్‌తో ప్రేక్షకుల ముందుకు వచ్చాడు.
",0
20,"అయితే పెద్దగా కొత‍్తదనం లేని కథా కథనాలు ఎంచుకున్న దర్శకుడు.
",0
21,"ప్రేక్షకుల సహనాన్ని పరీక్షించాడు.
",0
22,"కామెడీ ఎంటర్‌టైనర్‌గా ప్రమోట్‌ చేసినా.
",0
23,"సినిమాలో ఆ స్థాయి కామెడీ ఎక్కడా కనిపించకపోవటం నిరాశపరుస్తుంది.
",0
24,"సినిమాటోగ్రఫి బాగుంది.
",0
25,"అమెరికా లోకేషన్లతో పాటు పాటలు విజువల్‌గా బాగున్నాయి.
",0
26,"తమన్ అందించిన సంగీతం పరవాలేదు.
",0
27,"ఎడిటింగ్‌, నిర్మాణ విలువలు సినిమా స్థాయికి తగ్గట్టుగా ఉన్నాయి.
",0
28,"క్షణం సినిమాతో నటుడిగానే కాక రచయితగా కూడా సూపర్ హిట్ అందుకున్న అడివి శేష్ మరోసారి తన కథా కథనాలతో ప్రేక్షకుల ముందుకు వచ్చాడు.
",0
29,"ఈ సారి హాలీవుడ్ బాండ్ సినిమాలను తలపించే గూఢచారి కథతో ఆకట్టుకునే ప్రయత్నం చేశాడు.
",0
30,"తానే లీడ్‌ రోల్‌లో నటించిన ఈ సినిమాను అభిషేక్‌ పిక్చర్స్‌, పీపుల్స్‌ మీడియా ఫ్యాక్టరీలు సంయుక్తంగా నిర్మించాయి.
",0
31,"శశి కిరణ్ తిక్క దర్శకుడు.
",0
32,"ఈ రోజు ప్రేక్షకుల ముందుకు వచ్చిన ఈ సినిమా ప్రేక్షకులను ఏమేరకు ఆకట్టుకుంది.
",0
33,"? రచయితగా అడివి శేష్‌ మరోసారి విజయం సాధించాడా.
",0
34,"భారతదేశ రక్షణ కోసం ప్రభుత్వం ఏర్పాటు చేసిన త్రినేత్ర సంస్థ కోసం పాల్గొన్న ఒక ఆపరేషన్ లో గోపి(అడవి శేష్) తండ్రి రఘువీర్ చనిపోతాడు.
",0
35,"శత్రువుకు ఉనికి తెలియకుండా ఉండటం కోసం త్రినేత్రలోనే పనిచేసిన అతని మావయ్య సత్య(ప్రకాష్ రాజ్) గోపిని ఢిల్లీకి తీసుకెళ్లిపోతాడు.
",0
36,"అక్కడ మేనల్లుడి పేరుని  అర్జున్ గా మార్చేస్తాడు.
",0
37,"రాలో చేరాలన్న తన లక్ష్యం త్రినేత్ర హెడ్ దామోదర్(అనీష్ కురువిల్లా) సహాయంతో నెరవేర్చుకుంటాడు అర్జున్.
",0
38,"అక్కడ కాంబాట్ ట్రైనింగ్ హెడ్ నదియా ఖురేషి(సుప్రియ)ఆధ్వర్యంలో లీనా(మధుశాలిని)తో పాటు మరో నలుగురితో కలిసి శిక్షణ తీసుకుంటాడు.
",0
39,"ఆ క్రమంలోనే తన పక్క ప్లాట్ లో ఉండే సైకియాట్రీస్ట్ సమీరా(శోభిత ధూళిపాళ) ప్రేమలో పడతాడు.
",0
40,"అనూహ్యంగా జరిగిన సంఘటనల వల్ల చారి, దామోదర్ హత్యకు గురైతే ఆ అభియోగం అర్జున్ మీద పడుతుంది.
",0
41,"దీంతో అర్జున్ అక్కడి నుంచి తప్పించుకుని అజ్ఞాతంలోకి వెళ్ళిపోతాడు.
",0
42,"దీని వెనుక ఉన్న రానా(జగపతిబాబు) కోసం వేట మొదలుపెడతాడు.
",0
43,"తన నిర్దోషిత్వాన్ని రుజువు చేసుకోవాల్సిన బాధ్యత కూడా ఉంటుంది.
",0
44,"మరి గూఢచారి ఈ పద్మవ్యూహం నుంచి ఎలా బయటపడ్డాడు అనేదే స్టోరీ.
",0
45,"నటీనటుల.
",0
46,"బాండ్‌ తరహా కథ కావటంతో సినిమా అంతా అడివి శేష్ పాత్ర చుట్టూనే తిరుగుతుంది.
",0
47,"ఇండియన్‌ బాండ్‌లా అడవి శేష్‌ యాక్షన్, రొమాన్స్‌, కామెడీ, ఎమోషన్స్‌ ఇలా అన్ని వేరియేషన్స్‌ను చాలా బాగా పలికించాడు.
",0
48,"సినిమాలో జగపతి బాబు ఎంట్రీ ఆడియన్స్‌ కు షాక్‌ ఇస్తుంది.
",0
49,"మరోసారి ప్రతినాయక పాత్రలో జగపతి బాబు మెప్పించాడు.
",0
50,"కరుడుగట్టిన తీవ్రవాదిగా ఆయన నటన, లుక్స్‌ సినిమాకు ప్లస్‌ అయ్యాయి.
",0
51,"అక్కినేని వారసురాలు సుప్రియ రీ ఎంట్రీకి పర్ఫెక్ట్ క్యారెక్టర్‌ను ఎంచుకున్నారు.
",0
52,"త్రినేత్ర టీం ఆఫీసర్‌ పాత్రలో ఆమె నటన సూపర్బ్‌.
",0
53,"నెగెటివ్‌ షేడ్స్‌ ను కూడా చాలా బాగా చూపించారు.
",0
54,"తొలిసారిగా తెలుగు తెరకు పరిచయం అయిన శోభితా దూళిపాలకు మంచి పాత్ర దక్కింది.
",0
55,"ఆమె.
",0
56,"గ్లామర్‌ షోతో పాటు నటిగానూ ఆకట్టుకునే ప్రయత్నం చేశారు.
",0
57,"మరో కీలక పాత్రలో వెన్నెల కిశోర్ ఆకట్టుకున్నాడు.
",0
58,"తాను సీరియస్‌గా ఉంటూనే కామెడీ పండించాడు.
",0
59,"ఇతర పాత్రల్లో ప్రకాష్‌ రాజ్‌, మధుశాలిని, అనీష్ కురివిల్లా తదితరులు తమ పరిది మేరకు ఆకట్టుకున్నారు.
",0
60,"ప్లస్‌ పాయింట్స్.
",0
61,"కథా కథన.
",0
62,"లీడ్‌ యాక్టర్స్ నట.
",0
63,"సినిమాటోగ్రఫ.
",0
64,"నేపథ్య సంగీతం.
",0
65,"మైనస్‌ పాయింట్స్.
",0
66,"లవ్ సీన్స్‌.
",0
67,"విశ్లేష.
",0
68,"ఈ జనరేషన్‌కు బాండ్ తరహా చిత్రాలు పెద్దగా పరిచయం లేదనే చెప్పాలి.
",0
69,"ఎన్నో చిక్కుముడులతో తయారు చేసుకున్న బాండ్‌ కథను ఏమాత్రం కన్ఫ్యూజన్‌ లేకుండా వెండితెర మీద ఆవిష్కరించటంలో దర్శకుడు శశి కిరణ్ విజయం సాధించాడు.
",0
70,"ముఖ్యంగా సినిమాలో ప్రతీ పాత్ర ఓ సర్‌ప్రైజ్‌ ఇచ్చేలా ప్లాన్ చేసిన స్క్రీన్‌ప్లే సినిమాకు హాలీవుడ్ స్థాయిని తీసుకువచ్చింది.
",0
71,"ఫస్ట్ హాఫ్‌లో వచ్చే రొమాంటిక్ సీన్స్‌ కాస్త బోరింగ్ గా అనిపించినా.
",0
72,"సెకండ్‌ హాఫ్‌లో ఆ సీన్స్‌కు ఉన్న కనెక్షన్‌ చూసిన తరువాత లవ్‌ సీన్స్‌ కూడా ఓకె అనిపిస్తాయి.
",0
73,"అండర్‌ కవర్‌ ఆపరేషన్‌ ఎలా నిర్వహిస్తారు, వారి సెలక్షన్‌ ఎలా జరుగుతుంది, ఎలా ట్రైన్‌ చేస్తారు లాంటి అంశాలు ఆసక్తికరంగా తెరకెక్కించారు.
",0
74,"సినిమాకు మేజర్‌ ప్లస్‌ పాయింట్స్‌ సినిమాటోగ్రఫి, బ్యాక్‌ గ్రౌండ్ స్కోర్‌.
",0
75,"ఇన్వెస్టిగేషన్‌ థ్రిల్లర్‌కు కావాల్సిన ఇంటెన్సిటీని తీసుకురావటంలో కెమెరామెన్‌ శానెల్‌ డియో, సంగీత దర్శకుడు శ్రీ చరణ్ పాకల విజయం సాధించారు.
",0
76,"అబ్బూరి రవి రాసిన మాటలు బుల్లెట్లలా పేలాయి.
",0
77,"ఎడిటింగ్, ఆర్ట్‌ ఇలా అన్నీ కలిసి సినిమాను విజయం వైపు నడిపించాయి.
",0
78,"నిర్మాణ విలువలు సినిమాకు మరో ఎసెట్‌.
",0
79,"ప్లస్‌ పాయింట్స్.
",0
80,"మూల క.
",0
81,"కొన్ని కామెడీ సీన్స్‌.
",0
82,"మైనస్‌ పాయింట్స్.
",0
83,"స్లో నేరేషన్.
",0
84,"ఆశించిన స్థాయిలో వినోదం లేకపోవటం.
",0
85,"సీనియర్‌ ఫైట్‌ మాస్టర్‌ విజయ్‌ ఎన్నేళ్ల నుంచో సినీ ఇండస్ట్రీలో సక్సెస్‌ఫుల్‌గా కొనసాగుతున్నారు.
",0
86,"అగ్రహీరోలందరితో పనిచేసి మంచి గుర్తింపును తెచ్చుకున్నారు.
",0
87,"విజయ్‌ కుమారుడు రాహుల్‌ విజయ్‌ ‘ఈ మాయ పేరేమిటో’ చిత్రంతో టాలీవుడ్‌కు పరిచయం అవుతున్న సంగతి తెలిసిందే.
",0
88,"ఎన్టీఆర్‌, నాగ చైతన్య, సుకుమార్‌ లాంటి సెలబ్రెటీలను ముఖ్య అతిథులుగా పిలిచి సినిమాపై హైప్‌ క్రియేట్‌ చేశారు.
",0
89,"అంతేకాకుండా ఈ చిత్రాన్ని నిర్మించింది కూడా విజయ్‌ కూతురు దివ్యా విజయ్‌.
",0
90,"ఈ శుక్రవారం (సెప్టెంబర్‌ 21) ఈ ‘మాయ పేరేమిటో’ ప్రేక్షకుల ముందుకు వచ్చింది.
",0
91,"మరి ఈ మొదటి సినిమా అటు హీరోగా రాహుల్‌ విజయ్‌ను, ఇటు నిర్మాతగా దివ్యా విజయ్‌ను నిలబెట్టిందా? వీరి ప్రయత్నం ప్రేక్షకులను ఏ మేరకు మెప్పించింది? సినిమా కథేంటో ఓసారి చూద్దాం.
",0
92,"బాబురావు (రాజేంద్రప్రసాద్‌) కొడుకు పేరు చందు (రాహుల్‌ విజయ్‌).
",0
93,"చందు అల్లరి చిల్లరగా తిరుగుతూ పనీపాటా లేకుండా ఉంటాడు.
",0
94,"తన కొడుకు ఎలా ఉన్నా సరే తనకిష్టమనీ చెబుతుంటాడు బాబురావు.
",0
95,"మురళీ శర్మ కూతురు శీతల్‌ జైన్‌ (కావ్యా థాపర్‌).
",0
96,"చిన్నప్పటి నుంచీ అల్లారుముద్దుగా పెంచుకున్న మురళీ శర్మ.
",0
97,"తన కూతురికి మంచి అబ్బాయి(ఐఏఎస్‌, ఐపీఎస్‌, డాక్టర్‌, సైంటిస్ట్‌, సీఎ)తో పెళ్లి చేయాలనుకుంటాడు.
",0
98,"శీతల్‌కు మనుషులు ఎప్పుడూ ఒకేలా ఉండాలి మారకూడదని అనుకుంటుంది.
",0
99,"చందు మంచితనం తెలుసుకుని, చందు జీవితంలో ఎదగాలనుకోవడం లేదు.
",0
100,"బతకాలనుకుంటున్నాడని అతడిని లవ్‌ చేస్తుంది.
",0
101,"ఈ విషయం తెలుసుకున్న మురళీ శర్మ… చందుని పిలిచి మాట్లాడతాడు.
",0
102,"ప్రేమించుకోవడానికి ఏం లేకపోయినా సరిపోతుందని.
",0
103,"పెళ్లి చేసుకోవడానికి మాత్రం అలా కుదరదని.
",0
104,"తన కూతురిని బాగా చూసుకుంటాడని నమ్మకం కలిగేస్తేనే ఒప్పుకుంటానని మురళీ శర్మ చెబుతాడు.
",0
105,"మురళీ శర్మ చెప్పినట్టు మారిపోయే క్రమంలో.
",0
106,"చందు ప్రవర్తనలో వచ్చిన మార్పు కారణంగా శీతల్‌ చందుల మధ్య దూరం పెరిగిపోతుంది.
",0
107,"తను చెప్పినట్టు మారినా మురళీ శర్మ పెళ్లికి ఎందుకు ఒప్పుకోలేదు? చివరకు మురళీ శర్మ ఏం చేశాడు? ప్రేమించుకున్న చందు, శీతల్‌ ఒక్కటయ్యారా? అన్నది తెరపై చూడాల్సిందే.
",0
108,"నటీనటులు.
",0
109,"హీరోగా రాహుల్‌ విజయ్‌ బాగానే నటించాడు, తన వయసుకు తగ్గట్గు ఎంచుకున్న కథకు న్యాయం చేశాడు.
",0
110,"రాహుల్‌ లవర్‌ బాయ్‌లా కనిపిస్తూ:.
",0
111,"యాక్షన్‌ సన్నివేశాల్లో కూడా ఫర్వాలేదనిపించాడు.
",0
112,"హీరోయిన్‌ కావ్యా థాపర్‌ లుక్స్‌ పరంగానే కాకుండా తన నటనతో ప్రేక్షకులను మెప్పించే ప్రయత్నం చేసింది.
",0
113,"కథలో కీలకపాత్రధారులైన రాజేంద్రప్రసాద్‌, ఈశ్వరీరావు, మురళీ శర్మ తమ నటనతో మళ్లీ ప్రేక్షకులను ఆకట్టుకున్నారు.
",0
114,"మిగతా పాత్రల్లో పోసాని కృష్ణమురళీ, హీరో స్నేహితులు తమ పరిధి మేరకు నటించారు.
",0
115,"మైనస్‌ పాయింట్స్‌.
",0
116,"కథలో కొత్తదనం లేకపోవడం.
",0
117,"విశ్లేషణ.
",0
118,"రాహుల్‌ విజయ్‌ తన మొదటి సినిమాగా ఎలాంటి ప్రయోగాల జోలికి వెళ్లకుండా… సింపుల్‌ కథలో రిస్క్‌ లేకుండా కానిచ్చేశాడు.
",0
119,"ఒక అల్లారు ముద్దుగా పెంచుకున్న కూతురి జీవితం కోసం పరితపించే తండ్రి.
",0
120,"తన కూతురి కోసం మంచి అబ్బాయి వెతకాలనుకోవడం.
",0
121,"కానీ ఆ కూతురేమో పనీపాటా లేని గాలికి తిరిగేవాడ్ని ప్రేమించడం.
",0
122,"ఆ తండ్రి మారాలంటూ కండిషన్లు పెట్టడం… హీరో బాధ్యత తెలుసుకుని మెలగడం.
",0
123,"చివరకు కథ సుఖాంతం కావడం ఇలాంటివి తెలుగు తెరపై చూసిన ఫార్ములానే.
",0
124,"ఏ సినిమాలోనైనా.
",0
125,"హీరోయిన్‌ అతి మంచితనం చూసి హీరో వెంటపడుతుంటాడు.
",0
126,"కానీ ఈ సినిమాలో మాత్రం రివర్స్‌.
",0
127,"హీరో మంచితనం, ప్రవర్తన చూసి ప్రేమలో పడుతుంది హీరోయిన్‌.
",0
128,"ప్రేమలో పడటానికి క్రియేట్‌ చేసిన సన్నివేశాలు, కారణాలు కూడా అంత బలమైనవేమీ కాదు.
",0
129,"కొత్త కథాకథనాలు లేకపోయినా.
",0
130,"ఓ రెండు గంటలు బోర్‌ కొట్టించకుండా తెరకెక్కించడంలో రాము కొప్పుల సక్సెస్‌ అయినట్టు కనిపిస్తోంది.
",0
131,"తన సంగీతం, నేపథ్య సంగీతంతో మణిశర్మ మళ్లీ నిరూపించుకున్నాడు.
",0
132,"ఈ సినిమాకు శ్యామ్‌ కే నాయుడు కెమెరా పనితనం కలిసొస్తుంది.
",0
133,"ఎడిటింగ్‌, నిర్మాణ విలువలు కూడా ఫర్వాలేదనిపిస్తాయి.
",0
134,"ప్లస్‌ పాయింట్స్‌.
",0
135,"బెల్లంకొం‍డ శ్రీనివాస్‌ యాక్షన్.
",0
136,"సినిమాటోగ్రఫ.
",0
137,"నేపథ్య సంగీతం.
",0
138,"మైనస్‌ పాయింట్స్‌.
",0
139,"కథనం మధ్యలో ఇబ్బంది పెట్టే పాటలు.
",0
140,"అప్పట్లో ఒకడుండేవాడు, మెంటల్ మదిలో లాంటి సినిమాలతో నటుడిగా మంచి గుర్తింపు తెచ్చుకున్న శ్రీ విష్ణు.
",0
141,"లీడ్‌ రోల్‌ లో తెరకెక్కిన తాజా చిత్రం నీదీ నాదీ ఒకే కథ.
",0
142,"మధ్య తరగతి కుటుంబాల్లో ఉండే సమస్యల నేపథ్యంలో తెరకెక్కిన ఈ సినిమాలో చదువులు, ర్యాంకుల కోసం పరుగులు, పరువు ప్రతిష్టల కోసం తల్లిదండ్రులు పిల్లలను పెట్టే ఇబ్బందులు ప్రధానంగా ప్రస్థావించారు.
",0
143,"ఎమోషనల్‌ డ్రామాగా తెరకెక్కిన ఈ సినిమా శ్రీ విష్ణుకు మరో విజయాన్ని అందించిందా.
",0
144,"రుద్రరాజు దేవీ ప్రసాద్‌ (దేవీ ప్రసాద్‌) ప్రొఫెసర్‌.
",0
145,"ఉ‍న్నత మైన చదువు చదుకొని సమాజంలో పరువు ప్రతిష్ట ఉన్న మధ్య తరగతి తండ్రి.
",0
146,"తన కొడుకు జీవితంలో మంచి స్థాయిలో సెటిల్‌ అవ్వాలని తపన పడే తండ్రి.
",0
147,"సాగర్‌ (శ్రీ విష్ణు) డిగ్రీ మూడు సార్లు ఫెయిల్‌ అయ్యి తన చెల్లెలితో కలిసి మళ్లీ ఎగ్జామ్స్‌ రాసే కుర్రాడు.
",0
148,"జీవితం మీద, భవిష్యత్తు మీద క్లారిటీ లేకుండా టైం పాస్‌ చేసేస్తుంటాడు.
",0
149,"కానీ తండ్రి బాధ తెలుసుకున్న సాగర్‌ ఎలాగైనా తండ్రి కోరుకున్నట్టుగా మారాలని ప్రయత్నిస్తాడు.
",0
150,"అందుకోసం ధార్మిక (సాట్నా టిటస్) సాయం తీసుకుంటాడు.
",0
151,"కానీ ఈ ప్రయత్నాల్లో తనని తాను కోల్పోవడం ఇష్టం లేక.
",0
152,"తండ్రి ఆశించినట్టుగా మారలేక నలిగిపోతుంటాడు.
",0
153,"చివరకు సాగర్‌.
",0
154,"తండ్రి కోరుకున్నట్టుగా మారాడా.
",0
155,"? లేక తనలాగే తాను ఉండిపోయాడా.
",0
156,"? అన్నదే మిగతా కథ.
",0
157,"సినిమా అంతా తండ్రీ కొడుకుల మధ్యే నడిచే కథ కావటంలో ప్రధానం గా రెండు పాత్రలే తెరమీదే కనిపిస్తుంటాయి.
",0
158,"జీవితంలో ఏది సాధించలేననే నిరుత్సాహంలో బతికే కుర్రాడిగా శ్రీవిష్ణు అద్భుతంగా నటించాడు.
",0
159,"తన కొడుకు జీవితంలో ఉన్నతంగా సెటిల్ అవ్వాలన్న తండ్రి కోరిక నేరవేర్చలేక.
",0
160,"తనని తాను కోల్పోలేక సతమతమ్యే పాత్రలో మంచి భావోద్వేగాలను పండించాడు.
",0
161,"తొలిసారిగా తెరపైన కనిపించిన దర్శకుడు దేవీ ప్రసాద్‌.
",0
162,"నటుడిగానూ మంచి మార్కులు సాధించాడు.
",0
163,"మధ్య తరగతి మనుషుల మనస్థత్వాలకు, ఆలోచనలకు, ఆశలకు ప్రతిరూపంగా నటించి మెప్పించారు.
",0
164,"బిచ్చగాడు సినిమాతో తెలుగు ప్రేక్షకులకు పరిచయం అయిన సాట్నా టిటస్‌కు ఈ సినిమాలో కూడా నటనకు ఆస్కారమున్న పాత్రే దక్కింది.
",0
165,"ఫస్ట్ హాఫ్‌లో నవ్వించే ప్రయత్నం చేసిన సాట్నా.
",0
166,"ద్వితీయార్థంలో వచ్చే ఎమోషనల్‌ సీన్స్‌లో మంచి నటన కనబరిచింది.
",0
167,"విశ్లేషణ .
",0
168,"మధ్య తరగతి కుటుంబాల్లో ప్రతీ ఇంట్లోను ఉండే సమస్యలనే కథా వస్తువుగా తీసుకున్న దర్శకుడు వేణు ఊడుగుల తొలి ప్రయత్నంలోనే మంచి విజయం సాధించాడు.
",0
169,"ప్రతీ ప్రేక్షకుడు ఏదో ఒక సన్నివేశంలో ఇది నా కథే అనిపించేలా ఉంది కథనం.
",0
170,"ప్రస్తుత సమాజంలో అందరు మనుషులు ముసుగులు వేసుకునే బతుకున్నారన్న అంశాన్ని మనసుకు హత్తుకునేలా ప్రజెంట్‌ చేశాడు.
",0
171,"పోటీ ప్రపంచంలో ర్యాంకుల కోసం, పరువు ప్రతిష్టల కోసం తల్లిదండ్రులు పిల్లలను ఎంత ఒత్తిడికి గురి చేస్తున్నారు.
",0
172,"ఆ ఒత్తిడి వల్ల పిల్లలు ఎంత మానసిక క్షోభ అనుభవిస్తున్నారన్న అంశాలను బలమైన ఎమోషనల్‌ సీన్స్‌తో తెర మీద ఆవిష్కరించాడు.
",0
173,"సంగీతం కూడా సినిమాకు తగ్గట్టుగా కుదిరింది.
",0
174,"ఎక్కడ కమర్షియల్ లెక్కల కోసం పాటలను ఇరికించకుండా ప్రతీ పాట కథలో భాగంగా వచ్చిపోతుంటాయి.
",0
175,"సినిమాకు మరో ప్రధానబలం నేపథ్య సంగీతం.
",0
176,"సంగీత దర్శకుడు సురేష్‌ బొబ్బిలి తన నేపథ్య సంగీతంతో కథలోని భావోద్వేగాలను మరింతగా ఎలివేట్ చేశాడు.
",0
177,"బొంతల నాగేశ్వర రెడ్డి ఎడిటింగ్‌ బాగుంది.
",0
178,"సినిమాటోగ్రఫి, నిర్మాణ విలువలు సినిమా స్థాయికి తగ్గట్టుగా ఉన్నాయి.
",0
179,"ప్లస్ పాయింట్స్ .
",0
180,"కథా కథన.
",0
181,"శ్రీ విష్ణు నట.
",0
182,"సంగీతం.
",0
183,"మైనస్ పాయింట్స్ .
",0
184,"సెకండ్‌ హాఫ్‌లో కొన్ని సీన్స్‌.
",0
185,"టైటిల్ : అమర్‌ అక్బర్‌ ఆంటొన.
",0
186,"జానర్ : యాక్షన్ డ్రామ.
",0
187,"తారాగణం : రవితేజ, ఇలియానా, తరుణ్‌ అరోరా, షాయాజీ షిండే, విక్రమ్‌జిత్ విర్క్‌, సునీల్.
",0
188,"సంగీతం : ఎస్‌.
",0
189,"తమన్.
",0
190,"దర్శకత్వం : శ్రీను వైట్.
",0
191,"నిర్మాత : నవీన్‌ ఎర్నేని, వై.
",0
192,"రవి శంకర్‌, మోహన్‌ చెరుకూరి.
",0
193,"రాజా ది గ్రేట్‌ సినిమా తరువాత మంచి సక్సెస్‌ కోసం ఎదురుచూస్తున్న రవితేజ, చాలా కాలంగా సక్సెస్‌ లేక కష్టాల్లో ఉన్న శ్రీను వైట్ల కాంబినేషన్‌లో తెరకెక్కిన సినిమా అమర్‌ అక్బర్ ఆంటొని.
",0
194,"ఈ సినిమాతో చాలా కాలం తరువాత గోవా బ్యూటి ఇలియానా టాలీవుడ్‌కు రీఎంట్రీ ఇస్తోంది.
",0
195,"మంచి హైప్‌ క్రియేట్ చేసిన ఈ సినిమాపై హీరో, హీరోయిన్‌, దర్శకుడు చాలా ఆశలు పెట్టుకున్నారు.
",0
